time,abs_mean_error,abs_std_error
8.800000000000000044e-01,1.483629226684570312e+00,1.772403717041015625e-01
8.900000000000000133e-01,1.508886337280273438e+00,2.436180114746093750e-01
9.000000000000000222e-01,1.523519515991210938e+00,3.023490905761718750e-01
9.100000000000000311e-01,1.537536621093750000e+00,3.755617141723632812e-01
9.200000000000000400e-01,1.559723854064941406e+00,4.589900970458984375e-01
9.300000000000000488e-01,1.575001239776611328e+00,5.216951370239257812e-01
9.400000000000000577e-01,1.576816558837890625e+00,6.503391265869140625e-01
9.500000000000000666e-01,1.605182647705078125e+00,6.777944564819335938e-01
9.599999999999999645e-01,1.611618518829345703e+00,8.738470077514648438e-01
9.699999999999999734e-01,1.640885353088378906e+00,9.378795623779296875e-01
9.799999999999999822e-01,1.659208297729492188e+00,9.255380630493164062e-01
9.899999999999999911e-01,1.683811664581298828e+00,9.619884490966796875e-01
1.000000000000000000e+00,1.700305938720703125e+00,1.121190071105957031e+00
